disputeId,type,tier,expectedWinner,actualWinner,correct,openGas,resolveGas,totalGas,resolutionTimeMinutes
206,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
207,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
208,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
209,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
210,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
211,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
212,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
213,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
214,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
215,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
216,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
217,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
218,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
219,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
220,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
221,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
222,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
223,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
224,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
225,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
226,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
227,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
228,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
229,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
230,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
231,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
232,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
233,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
234,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
235,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
236,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
237,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
238,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
239,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
240,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
241,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
242,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
243,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
244,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
245,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
246,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
247,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
248,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
249,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
250,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
251,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
252,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
253,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
254,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
